Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,192.786,-139.7,0,top
C3,1u,C_0805_2012Metric,217.17,-133.985,270,top
C4,47u,C_1206_3216Metric,209.55,-133.855,270,top
C5,47u,C_1206_3216Metric,213.36,-133.855,270,top
C6,10p,C_0805_2012Metric,178.6105,-132.461,0,top
C7,10u,C_0805_2012Metric,183.896,-139.6215,270,top
C8,100n,C_0805_2012Metric,170.8635,-132.842,180,top
C9,1p,C_0805_2012Metric,192.786,-136.398,180,top
L1,22u,C_0805_2012Metric,217.8835,-138.43,180,top
L2,47u,C_0805_2012Metric,213.6625,-138.43,180,top
Q1,D882,SOT-89-3,170.434,-103.124,180,top
Q2,D882,SOT-89-3,184.531,-103.124,180,top
Q3,D882,SOT-89-3,198.628,-103.124,180,top
R1,10k,R_0805_2012Metric,209.55,-138.43,180,top
R2,100k,R_0805_2012Metric,188.341,-138.557,0,top
R3,100k,R_0805_2012Metric,188.341,-141.859,180,top
R4,100k,R_0805_2012Metric,178.6105,-135.805333,180,top
R5,1k,R_0805_2012Metric,178.6105,-139.149666,180,top
R6,100,R_0805_2012Metric,192.7075,-132.842,180,top
R7,10,R_1206_3216Metric,170.434,-97.917,180,top
R8,10,R_1206_3216Metric,170.434,-94.107,180,top
R9,10,R_1206_3216Metric,170.434,-90.17,180,top
R10,10,R_1206_3216Metric,184.531,-97.917,180,top
R11,10,R_1206_3216Metric,184.531,-94.107,180,top
R12,10,R_1206_3216Metric,184.531,-90.17,180,top
R13,10,R_1206_3216Metric,198.628,-97.917,180,top
R14,10,R_1206_3216Metric,198.628,-94.107,180,top
R15,10,R_1206_3216Metric,198.628,-90.17,180,top
R16,4.7k,R_0805_2012Metric,178.6105,-142.494,0,top
U1,MCP6002-xSN,SOIC-8_3.9x4.9mm_P1.27mm,186.309,-134.493,0,top
